iter	RMSE
0	109563.0449
1	106888.7713
2	104242.9107
3	101665.4999
4	99183.682
5	96790.66223
6	94444.08858
7	92202.58648
8	90028.99963
9	87923.88298
10	85905.42577
11	83949.94718
12	82044.58565
13	80252.52488
14	78466.05207
15	76659.67056
16	75016.31352
17	73431.80277
18	71926.60266
19	70447.19182
20	68990.04658
21	67616.4127
22	66271.35032
23	64995.73887
24	63759.50784
25	62550.53451
26	61340.13019
27	60187.45124
28	59092.7618
29	58045.95178
30	57020.23102
31	56053.91337
32	55112.96743
33	54202.62699
34	53319.20655
35	52488.61034
36	51602.791
37	50792.16287
38	50032.32297
39	49244.89679
40	48462.02768
41	47713.24045
42	47008.88438
43	46318.40284
44	45677.89258
45	45022.57122
46	44411.97146
47	43816.39778
48	43277.22633
49	42751.42601
50	42206.93058
51	41700.13379
52	41205.55398
53	40711.04767
54	40221.28309
55	39761.67828
56	39353.27963
57	38938.91363
58	38559.61754
59	38184.72233
60	37851.54587
61	37522.25221
62	37211.58364
63	36887.95295
64	36515.91001
65	36203.01783
66	35914.6336
67	35569.8702
68	35287.38146
69	34977.39083
70	34727.37967
71	34447.24844
72	34183.93924
73	33936.94294
74	33717.37501
75	33464.73113
76	33233.43722
77	33007.72837
78	32790.72869
79	32561.93186
80	32375.55734
81	32162.73138
82	31965.07928
83	31768.21329
84	31591.69681
85	31425.5755
86	31267.29999
87	31116.99347
88	30934.4494
89	30747.96927
90	30592.39866
91	30434.97256
92	30283.05699
93	30109.74817
94	29974.72437
95	29854.25993
96	29737.10812
97	29602.78161
98	29483.62651
99	29367.21128
100	29261.39256
101	29152.04872
102	29043.90206
103	28946.21147
104	28842.59612
105	28741.95462
106	28643.56388
107	28545.89607
108	28445.9961
109	28357.8352
110	28282.04942
111	28194.9182
112	28112.03397
113	28034.62621
114	27960.47813
115	27876.9625
116	27791.34497
117	27717.17466
118	27655.86434
119	27596.32351
120	27538.09805
121	27470.94285
122	27391.52837
123	27336.4764
124	27276.11032
125	27215.5195
126	27151.93285
127	27092.05934
128	27041.42558
129	26975.26188
130	26927.31538
131	26867.47409
132	26825.61003
133	26770.65593
134	26706.38843
135	26649.5413
136	26606.87438
137	26554.22068
138	26500.94055
139	26446.12401
140	26401.68257
141	26366.06196
142	26314.8171
143	26266.3286
144	26229.92715
145	26195.05083
146	26158.47661
147	26126.38692
148	26084.6407
149	26035.89598
150	25983.9418
151	25953.15496
152	25900.6769
153	25863.90522
154	25829.8669
155	25787.34766
156	25756.60342
157	25706.71391
158	25680.51996
159	25633.5444
160	25577.15576
161	25548.60273
162	25519.38802
163	25489.93102
164	25451.2307
165	25381.80559
166	25331.14357
167	25301.21005
168	25252.40328
169	25221.60353
170	25182.22342
171	25151.02944
172	25101.29347
173	25062.0718
174	25034.77735
175	25005.56815
176	24981.95472
177	24964.73016
178	24922.83943
179	24870.21644
180	24836.63775
181	24807.42061
182	24777.25325
183	24753.54847
184	24720.8138
185	24695.93157
186	24666.02548
187	24618.45387
188	24586.64451
189	24567.82885
190	24533.56699
191	24513.41148
192	24479.57101
193	24451.18596
194	24428.17734
195	24405.74984
196	24369.10097
197	24350.17215
198	24329.51974
199	24299.48496
200	24274.57711
201	24243.80805
202	24220.23568
203	24194.14495
204	24169.50072
